layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
8,attn,-2.5714246774116365e-06,-2.3429344167011023e-06,2.2849026071053427e-07,0.01608661118726823,0.01602514484248409,-6.146634478413834e-05,0.998899350958648
8,mlp,-1.8828434473739068e-06,-1.80533173243261e-06,7.751171494129674e-08,0.012685578759491901,0.012653126881816032,-3.2451877675868795e-05,0.9975623297304977
9,attn,-1.8175367769453396e-06,-1.728053266875952e-06,8.948351006938751e-08,0.016323817941971724,0.016257250158503676,-6.65677834680474e-05,0.9988698153038776
9,mlp,-4.57086247886318e-07,-2.909270148267691e-07,1.6615923305954888e-07,0.012800601280887856,0.012766395387190366,-3.420589369748997e-05,0.9976489423103284
10,attn,2.4826323650268947e-06,2.699819216438193e-06,2.171868514112981e-07,0.01624051544243104,0.016174295285914752,-6.622015651628829e-05,0.998878919959293
10,mlp,-5.081875202558995e-06,-4.966379871838035e-06,1.1549533072096035e-07,0.012773765840532886,0.012739499079407806,-3.426676112507944e-05,0.997622681880566
11,attn,-2.4216283063644438e-06,-2.2757413815407274e-06,1.458869248237164e-07,0.015832753619431605,0.015766655174617002,-6.609844481460236e-05,0.9987905046024893
11,mlp,-2.4466358046529924e-06,-2.204870304817618e-06,2.4176549983537423e-07,0.012752078455361261,0.01271734232709715,-3.4736128264111626e-05,0.9976112996287502
12,attn,1.9722611187108965e-06,2.1054960284830337e-06,1.3323490977213718e-07,0.01604172010825381,0.015977408793581675,-6.43113146721365e-05,0.9988649808765652
12,mlp,-1.589153995401247e-06,-1.2891558598259242e-06,2.999981355753228e-07,0.012815025596353223,0.012777871250995268,-3.715434535795509e-05,0.9977677435898111
13,attn,4.3186536427641637e-07,2.7682583820347326e-07,-1.550395260729431e-07,0.016140785503143247,0.016072712080935136,-6.807342220811058e-05,0.9988303449145043
13,mlp,-1.1273681075995872e-05,-1.116279941567025e-05,1.1088166032562237e-07,0.01283760601864991,0.012803021651795629,-3.458436685428029e-05,0.9975533182160486
14,attn,-3.866948729395851e-06,-3.6924257510041745e-06,1.745229783916764e-07,0.01592372774215471,0.01585512848739196,-6.859925476275161e-05,0.9988141329595759
14,mlp,-1.5179781981119855e-05,-1.5071941936443625e-05,1.0784004467622965e-07,0.012936868014079889,0.012903292964535247,-3.3575049544641924e-05,0.997540767289232
15,attn,-4.6387834458864695e-06,-4.377595358004416e-06,2.6118808788205333e-07,0.016750804564266603,0.01668164142995588,-6.916313431072282e-05,0.9987001972116848
15,mlp,-1.7819410900781858e-05,-1.7670633962316435e-05,1.4877693846542274e-07,0.013027999793162432,0.012994852830054441,-3.314696310799045e-05,0.997426711148274
16,attn,2.039423737965583e-06,2.1634101555126697e-06,1.2398641754708647e-07,0.016401552128742575,0.016333628445211527,-6.792368353104872e-05,0.9987518297124736
16,mlp,-1.4845106733923446e-05,-1.4778301578849704e-05,6.68051550737428e-08,0.01306053170410099,0.013029451364751636,-3.1080339349353475e-05,0.9972116057525446
17,attn,3.986919297963151e-06,3.759286178612632e-06,-2.2763311935051888e-07,0.01660757638219129,0.01653947576576814,-6.810061642315013e-05,0.9985535782417826
17,mlp,-1.2921347552117296e-05,-1.2858470660834831e-05,6.287689128246515e-08,0.01310125783563889,0.013068911121087842,-3.234671455104761e-05,0.9972562388950909
18,attn,-1.5406625920613768e-06,-1.4568441450826807e-06,8.381844697869611e-08,0.01646186655700412,0.01639374551822019,-6.81210387839283e-05,0.9985355603150025
18,mlp,-1.7773194552795351e-06,-1.6792126455373882e-06,9.810680974214696e-08,0.013091165766606582,0.013060212743721529,-3.095302288505346e-05,0.9971123909574157
19,attn,9.998445729174702e-08,-1.5476015580821734e-07,-2.5474461309996436e-07,0.016331463782342466,0.016263229285749293,-6.823449659317318e-05,0.998389231124211
