op,component,layer,models
merge,attn_v,30,"Llama-3.1-8B-Instruct-multi-truth-judge:29,Llama-3.1-8B-UltraMedical:30,Llama-SafetyGuard-Content-Binary:30,calme-2.3-legalkit-8b:30"
merge,attn_o,30,"Llama-3.1-8B-Instruct-multi-truth-judge:29,Llama-3.1-8B-UltraMedical:30,Llama-SafetyGuard-Content-Binary:30,calme-2.3-legalkit-8b:30"
merge,mlp_gate,30,"Llama-3.1-8B-Instruct-multi-truth-judge:29,Llama-3.1-8B-UltraMedical:30,Llama-SafetyGuard-Content-Binary:30,calme-2.3-legalkit-8b:30"
merge,mlp_up,30,"Llama-3.1-8B-Instruct-multi-truth-judge:29,Llama-3.1-8B-UltraMedical:30,Llama-SafetyGuard-Content-Binary:30,calme-2.3-legalkit-8b:30"
merge,mlp_down,30,"Llama-3.1-8B-Instruct-multi-truth-judge:29,Llama-3.1-8B-UltraMedical:30,Llama-SafetyGuard-Content-Binary:30,calme-2.3-legalkit-8b:30"
merge,attn_q,28,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,attn_k,28,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,attn_v,28,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,attn_o,28,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,mlp_gate,28,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,mlp_up,28,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,mlp_down,28,"Llama-3.1-8B-UltraMedical:28,Llama-3.1-Hawkish-8B:29,Llama-SafetyGuard-Content-Binary:28,calme-2.3-legalkit-8b:28"
merge,attn_q,29,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:29,Llama-SafetyGuard-Content-Binary:29,calme-2.3-legalkit-8b:29"
merge,attn_k,29,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:29,Llama-SafetyGuard-Content-Binary:29,calme-2.3-legalkit-8b:29"
merge,attn_v,29,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:29,Llama-SafetyGuard-Content-Binary:29,calme-2.3-legalkit-8b:29"
merge,attn_o,29,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:29,Llama-SafetyGuard-Content-Binary:29,calme-2.3-legalkit-8b:29"
merge,mlp_gate,29,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:29,Llama-SafetyGuard-Content-Binary:29,calme-2.3-legalkit-8b:29"
merge,mlp_up,29,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:29,Llama-SafetyGuard-Content-Binary:29,calme-2.3-legalkit-8b:29"
merge,mlp_down,29,"Llama-3.1-8B-Instruct-multi-truth-judge:28,Llama-3.1-8B-UltraMedical:29,Llama-SafetyGuard-Content-Binary:29,calme-2.3-legalkit-8b:29"
