model,layer,component,mean,std,shape,avgable,replaceable
Llama-SafetyGuard-Content-Binary,10,layer_full,0.5097018885313175,-0.7003544827765606,layer_full,True,False
Llama-SafetyGuard-Content-Binary,11,layer_full,0.7617004945803634,-0.9195695217747273,layer_full,True,True
Llama-SafetyGuard-Content-Binary,12,layer_full,1.083812454030467,-0.7268321857456681,layer_full,True,False
Llama-SafetyGuard-Content-Binary,13,layer_full,-0.6338604651378825,-0.6481517132364789,layer_full,True,False
Llama-SafetyGuard-Content-Binary,14,layer_full,-1.4550360784127816,-0.5925944842850271,layer_full,True,True
Llama-SafetyGuard-Content-Binary,15,layer_full,-1.937984709469653,-0.07788337213650114,layer_full,True,True
Llama-SafetyGuard-Content-Binary,16,layer_full,-1.161672749436714,-0.18877845891359904,layer_full,True,True
Llama-SafetyGuard-Content-Binary,17,layer_full,-0.7742256787336751,-0.0354076293076794,layer_full,True,True
Llama-SafetyGuard-Content-Binary,18,layer_full,0.8993172406972663,-0.1177710970766694,layer_full,True,True
Llama-SafetyGuard-Content-Binary,19,layer_full,-0.3859179554171728,-0.1566628558515569,layer_full,True,True
Llama-SafetyGuard-Content-Binary,20,layer_full,-0.8332987260288446,-0.19012006247577865,layer_full,True,True
Llama-SafetyGuard-Content-Binary,21,layer_full,-0.051631208917477515,-0.08280784008238302,layer_full,True,True
Llama-SafetyGuard-Content-Binary,22,layer_full,-0.24069945050714697,-0.14445699290421293,layer_full,True,True
Llama-SafetyGuard-Content-Binary,23,layer_full,-0.017259987588728636,-0.053050355137603575,layer_full,True,True
Llama-SafetyGuard-Content-Binary,24,layer_full,-0.23780911287253143,-0.016996715793785006,layer_full,True,True
Llama-SafetyGuard-Content-Binary,25,layer_full,0.35409869776076297,0.07592658621970201,layer_full,True,True
Llama-SafetyGuard-Content-Binary,26,layer_full,0.034294532471598485,0.32984437969705455,layer_full,True,True
Llama-SafetyGuard-Content-Binary,27,layer_full,0.18314115084286686,0.5146245845118158,layer_full,True,True
Llama-SafetyGuard-Content-Binary,28,layer_full,0.2892655241622507,0.6260090428348035,layer_full,True,True
Llama-SafetyGuard-Content-Binary,29,layer_full,-0.0038935253949597044,0.9679308340728202,layer_full,True,True
Llama-SafetyGuard-Content-Binary,30,layer_full,-0.4613677619377467,1.3598627437187631,layer_full,True,True
Llama-SafetyGuard-Content-Binary,31,layer_full,-1.7263269005611293,4.00021539488852,layer_full,True,True
calme-2.3-legalkit-8b,4,layer_full,0.31625694948611816,-0.7795000795636963,layer_full,True,False
calme-2.3-legalkit-8b,5,layer_full,1.4110117561107434,-0.8714162578500595,layer_full,True,False
calme-2.3-legalkit-8b,6,layer_full,2.070813756887546,-0.7097599411063715,layer_full,True,False
calme-2.3-legalkit-8b,7,layer_full,1.9930906302163083,-0.8479583737531807,layer_full,True,False
calme-2.3-legalkit-8b,8,layer_full,0.7193028059717426,-0.8512018748082317,layer_full,True,False
calme-2.3-legalkit-8b,9,layer_full,0.9862607833727999,-0.5670153187904471,layer_full,True,False
calme-2.3-legalkit-8b,10,layer_full,0.3975203373613445,-0.6463402376347731,layer_full,True,False
calme-2.3-legalkit-8b,11,layer_full,0.6421771601476363,-0.8680393713011209,layer_full,True,True
calme-2.3-legalkit-8b,12,layer_full,0.9360410910847302,-0.6743054187835529,layer_full,True,True
calme-2.3-legalkit-8b,13,layer_full,-0.6969067478434388,-0.5948582962357072,layer_full,True,True
calme-2.3-legalkit-8b,14,layer_full,-1.4922623705200149,-0.5394147594286752,layer_full,True,True
calme-2.3-legalkit-8b,15,layer_full,-1.9253921786735855,-0.019836296677816286,layer_full,True,True
calme-2.3-legalkit-8b,16,layer_full,-1.192710452954216,-0.13136823754112736,layer_full,True,False
calme-2.3-legalkit-8b,17,layer_full,-0.8226235765099498,0.024379345432663787,layer_full,True,True
calme-2.3-legalkit-8b,18,layer_full,0.7732615269478935,-0.05847729918100039,layer_full,True,True
calme-2.3-legalkit-8b,19,layer_full,-0.44291858217194363,-0.09645308881534763,layer_full,True,True
calme-2.3-legalkit-8b,20,layer_full,-0.8796665743731349,-0.13016637820172094,layer_full,True,True
calme-2.3-legalkit-8b,21,layer_full,-0.1302869134348344,-0.02250882032770288,layer_full,True,True
calme-2.3-legalkit-8b,22,layer_full,-0.3195795097266819,-0.08429691834174356,layer_full,True,True
calme-2.3-legalkit-8b,23,layer_full,-0.11880075121814554,0.008387177880600215,layer_full,True,True
calme-2.3-legalkit-8b,24,layer_full,-0.3140642418668532,0.047233874568141966,layer_full,True,True
calme-2.3-legalkit-8b,25,layer_full,0.24367374829124394,0.14091919051437302,layer_full,True,True
calme-2.3-legalkit-8b,26,layer_full,-0.0712355666374179,0.39775987042045136,layer_full,True,True
calme-2.3-legalkit-8b,27,layer_full,0.07239539321937272,0.585149081250419,layer_full,True,True
calme-2.3-legalkit-8b,28,layer_full,0.18590893203447156,0.6979558914121876,layer_full,True,True
calme-2.3-legalkit-8b,29,layer_full,-0.0864088837953206,1.0440033191386946,layer_full,True,True
calme-2.3-legalkit-8b,30,layer_full,-0.5195513442105093,1.4407655835665425,layer_full,True,False
calme-2.3-legalkit-8b,31,layer_full,-1.7353071771959032,4.1063636341583445,layer_full,True,True
