layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
25,mlp,4.3515171201436117e-07,4.266522606623339e-07,-8.499451352027287e-09,0.02278280955442193,0.022785777449828983,2.9678954070536112e-06,0.9998637416872573
26,attn,-4.724130351240536e-09,-3.7188252315541643e-10,4.35224782808512e-09,0.0222953761362327,0.02229670410792886,1.3279716961599186e-06,0.9999354344939416
26,mlp,-1.610974295270868e-06,-1.5843766710318582e-06,2.6597624239009772e-08,0.022833375571036044,0.02283606646689748,2.690895861436754e-06,0.9998779607383966
27,attn,9.732147831210959e-07,9.692694656046607e-07,-3.945317516435179e-09,0.02159054378096086,0.021591576137155517,1.0323561946586068e-06,0.9999470098767135
27,mlp,-4.762943710157019e-06,-4.759618572175374e-06,3.3251379816447523e-09,0.02287135486348545,0.022874318509290073,2.963645804623244e-06,0.9998695572015571
28,attn,9.57409971688737e-07,9.082649786782785e-07,-4.914499301045856e-08,0.021484663484010978,0.02148577687354803,1.1133895370524227e-06,0.9999443726608314
28,mlp,-1.3106640326383308e-06,-1.2651736938244228e-06,4.549033881390795e-08,0.02294338671671993,0.022945396589153563,2.0098724336330143e-06,0.9999110987061567
29,attn,-1.8682268211922576e-06,-1.821272365507461e-06,4.6954455684796486e-08,0.021118331093617004,0.021119595797030634,1.264703413630247e-06,0.9999362314629324
29,mlp,1.3056156999611939e-06,1.3404483094269225e-06,3.483260946572867e-08,0.02287979358406952,0.022882132013773895,2.3384297043738123e-06,0.9998966424209137
30,attn,1.4124837880079575e-06,1.3948532799904242e-06,-1.763050801753334e-08,0.020274456170143233,0.020276968464656875,2.5122945136422936e-06,0.9998784710198366
30,mlp,1.1903604178147137e-06,1.2023961775829983e-06,1.2035759768284574e-08,0.022239407644277325,0.022241574730214615,2.1670859372893703e-06,0.9999066134870458
31,attn,1.8329734250942253e-06,1.8534279516043633e-06,2.0454526510137935e-08,0.020161321114715774,0.020163747771311614,2.4266565958400155e-06,0.999871584078628
