layer,group,base_mean,tgt_mean,delta_mean,base_std,tgt_std,delta_std,cosine
11,mlp,-6.093387363360075e-06,-6.0960977921826165e-06,-2.7104288225411152e-09,0.023284305879101616,0.02328368307497893,-6.228041226873093e-07,0.9999904727123688
12,attn,2.1573743739242493e-06,2.161498221585856e-06,4.123847661606733e-09,0.022024629880819428,0.02202410504498061,-5.24835838816573e-07,0.9999898809267886
12,mlp,-1.4524396012517797e-06,-1.4423850920354207e-06,1.0054509216359067e-08,0.023001626293402685,0.02300101104912258,-6.152442801055091e-07,0.9999901462882714
13,attn,4.715863748887041e-06,4.716711012984888e-06,8.472640978471143e-10,0.02218153884416808,0.022180943086184495,-5.957579835846882e-07,0.9999900512498885
13,mlp,-1.5315242934670487e-06,-1.5378600270529602e-06,-6.335733585911505e-09,0.022828232087151363,0.02282763339789518,-5.986892561843371e-07,0.9999899741256703
14,attn,-1.0006903040216967e-06,-1.0022859462199964e-06,-1.595642198299712e-09,0.021252145645760893,0.021251614932511556,-5.307132493366506e-07,0.999990250368316
14,mlp,-5.4304866640857755e-06,-5.435054148362151e-06,-4.567484276375124e-09,0.022758683503498352,0.02275807728628756,-6.062172107912378e-07,0.9999898720660435
15,attn,6.438366299679445e-07,6.591659651364246e-07,1.532933516848003e-08,0.022350908554012026,0.022350316337487484,-5.922165245419997e-07,0.9999898566556316
15,mlp,-6.392325493809072e-06,-6.400440838166951e-06,-8.115344357878773e-09,0.022575276121340592,0.02257466177583588,-6.143455047111224e-07,0.9999896409441074
16,attn,-2.4456962903851324e-06,-2.4496171182921627e-06,-3.920827907030336e-09,0.02215567049924984,0.022155093501272496,-5.76997977345256e-07,0.9999899574841868
16,mlp,6.817239386021888e-07,6.778516947462196e-07,-3.872243855969229e-09,0.022291460484266258,0.022290849875677875,-6.106085883826606e-07,0.9999893804490833
17,attn,-7.480267051045683e-07,-7.511907974859434e-07,-3.164092381375106e-09,0.021546143640198738,0.021545574358486645,-5.692817120935001e-07,0.9999896977876856
17,mlp,-7.623707134388459e-06,-7.6105057707589e-06,1.3201363629559045e-08,0.022266020406422993,0.022265397088839692,-6.233175833016136e-07,0.9999893300002379
18,attn,9.92268229664952e-08,1.0109310731391857e-07,1.866284347423371e-09,0.02193838951527461,0.021937796640716583,-5.928745580273398e-07,0.9999894607769791
18,mlp,-2.376134624486116e-06,-2.3718239317971694e-06,4.3106926889464626e-09,0.022291938210761864,0.022291335351047967,-6.028597138961478e-07,0.9999892873718016
19,attn,9.324406112137528e-07,9.091643589650264e-07,-2.3276252248726345e-08,0.022561476286566105,0.0225609273421948,-5.489443713029007e-07,0.9999901646786642
19,mlp,-3.487505574171128e-06,-3.4792833117129485e-06,8.222262458179447e-09,0.02233033178970799,0.022329728854130624,-6.029355773644329e-07,0.9999892281035386
20,attn,-4.069692732812033e-06,-4.085784834627772e-06,-1.6092101815739082e-08,0.021737224213548838,0.021736608308338793,-6.159052100447593e-07,0.9999898092524064
20,mlp,4.2895134269742515e-07,4.217342589363638e-07,-7.217083761061367e-09,0.022406980294189766,0.022406374054017304,-6.06240172461997e-07,0.9999892218969056
21,attn,3.7405949643088123e-06,3.720027066352782e-06,-2.056789795603018e-08,0.022936309340690374,0.02293567470083464,-6.346398557337263e-07,0.9999898166396615
21,mlp,-4.573797341719837e-06,-4.578371266706274e-06,-4.573924986436558e-09,0.02242767539686386,0.022427055148644317,-6.202482195419301e-07,0.9999892059301804
22,attn,1.2862201643538539e-06,1.2780934459974916e-06,-8.126718356362338e-09,0.022726735052141324,0.02272612022768313,-6.148244581921647e-07,0.9999897361213707
22,mlp,-6.154318934883986e-07,-6.203285365529952e-07,-4.896643064596582e-09,0.022500692317751692,0.022500083359721076,-6.089580306158082e-07,0.9999891879945478
23,attn,-1.498391462293579e-06,-1.4796841260783338e-06,1.8707336215245112e-08,0.021527645611658024,0.021527082671922267,-5.629397357570509e-07,0.9999891465792228
23,mlp,-1.4532565153410094e-06,-1.4551458056877343e-06,-1.889290346724934e-09,0.022564059625183413,0.022563455658055988,-6.039671274250813e-07,0.9999892204385777
24,attn,-9.281860118647089e-07,-9.418038471941338e-07,-1.361783532942495e-08,0.023006561085284292,0.02300596479290753,-5.962923767602324e-07,0.999989752783633
24,mlp,-1.0853097518177977e-06,-1.0853691033260322e-06,-5.93515082344228e-11,0.022663836031791753,0.022663216487253796,-6.195445379567066e-07,0.9999893176039862
